code_insee;code_postal;code_reg_insee;nom_reg;code_dep_insee;nom_commune;latitude;longitude;Orientation Economique;Population
75101;75001;11;Ile-de-France;75;Paris 1er Arrondissement;48.86263049;2.336293447;Bassin Urbain;2141000
13201;13001;93;Provence-Alpes-Côte d'Azur;13;Marseille 1er Arrondissement;43.29990094;5.382278698;Bassin Urbain;861635
69382;69002;84;Auvergne-Rhône-Alpes;69;Lyon;45.74925604;4.826170325;Bassin Urbain;513275
31555;31300;76;Occitanie;31;Toulouse;43.59638143;1.431672934;Bassin Urbain;390301
06088;06200;93;Provence-Alpes-Côte d'Azur;06;Nice;43.71199927;7.238268895;Bassin Urbain;343123
44109;44000;52;Pays de la Loire;44;Nantes;47.23163568;-1.548310086;Bassin Urbain;270343
67482;67100;44;Grand-Est;67;Strasbourg;48.57126798;7.767526795;Bassin Urbain;263941
34172;34000;76;Occitanie;34;Montpellier;43.61344091;3.868516579;Bassin Urbain;225511
33063;33000;75;Nouvelle Aquitaine;33;Bordeaux;44.85724454;-0.573696781;Bassin Urbain;215374
59350;59160;32;Hauts-de-France;59;Lille;50.63171832;3.047832723;Bassin Urbain;212566
35238;35000;53;Bretagne;35;Rennes;48.11197912;-1.681864491;Bassin Urbain;206194
76351;76600;28;Normandie;76;Le Havre;49.4984525;0.140153719;Bassin Urbain;190924
51454;51100;44;Grand-Est;51;Reims;49.25149061;4.040230232;Bassin Urbain;187181
42218;42000;84;Auvergne-Rhône-Alpes;42;Saint-Étienne;45.43012355;4.379139971;Bassin Urbain;180438
83137;83100;93;Provence-Alpes-Côte d'Azur;83;Toulon;43.13615897;5.932396342;Bassin Urbain;160712
38185;38100;84;Auvergne-Rhône-Alpes;38;Grenoble;45.18212152;5.721330518;Bassin Urbain;153426
49007;49100;52;Pays de la Loire;49;Angers;47.47683742;-0.556125995;Bassin Urbain;151322
21231;21000;27;Bourgogne-France-Comté;21;Dijon;47.3229438;5.037888059;Bassin Urbain;150138
29019;29200;53;Bretagne;29;Brest;48.40049978;-4.502790785;Bassin Urbain;149649
72181;72000;52;Pays de la Loire;72;Le Mans;47.98852567;0.200030494;Bassin Urbain;146064
63113;63000;84;Auvergne-Rhône-Alpes;63;Clermont-Ferrand;45.7856493;3.115545429;Bassin Urbain;137154
80021;80080;32;Hauts-de-France;80;Amiens;49.90095322;2.290074455;Bassin Urbain;135449
13001;13290;93;Provence-Alpes-Côte d'Azur;13;Aix-en-Provence;43.53607084;5.398574446;Bassin Urbain;134324
87085;87000;75;Nouvelle Aquitaine;87;Limoges;45.85425496;1.248757902;Bassin Urbain;133924
30189;30900;76;Occitanie;30;Nîmes;43.84493839;4.34806797;Bassin Urbain;133406
37261;37000;24;Centre-Val de Loire;37;Tours;47.39863823;0.696526376;Bassin Urbain;132677
69266;69100;84;Auvergne-Rhône-Alpes;69;Villeurbanne;45.77077042;4.888458174;Bassin Urbain;124152
57463;57050;44;Grand-Est;57;Metz;49.10811333;6.195524542;Bassin Urbain;123704
25056;25000;27;Bourgogne-France-Comté;25;Besançon;47.25538722;6.019486965;Bassin Urbain;117691
14118;14000;28;Normandie;14;Caen;49.18479367;-0.369801713;Bassin Urbain;114007
45234;45100;24;Centre-Val de Loire;45;Orléans;47.88286342;1.916103575;Bassin Urbain;113089
68224;68100;44;Grand-Est;68;Mulhouse;47.7491633;7.325700475;Bassin Urbain;110141
76540;76000;28;Normandie;76;Rouen;49.44134601;1.092567843;Bassin Urbain;106560
92012;92100;11;Ile-de-France;92;Boulogne-Billancourt;48.83658431;2.239135991;Bassin Urbain;106316
66136;66100;76;Occitanie;66;Perpignan;42.69659541;2.89936954;Bassin Urbain;105096
54395;54100;44;Grand-Est;54;Nancy;48.69019955;6.175882544;Bassin Urbain;103552
59512;59100;32;Hauts-de-France;59;Roubaix;50.68797748;3.182584346;Bassin Urbain;96959
95018;95100;11;Ile-de-France;95;Argenteuil;48.95113446;2.24104095;Bassin Urbain;93932
59599;59200;32;Hauts-de-France;59;Tourcoing;50.72544189;3.158827572;Bassin Urbain;93531
93048;93100;11;Ile-de-France;93;Montreuil;48.86331751;2.448162119;Bassin Urbain;90735
93066;93200;11;Ile-de-France;93;Saint-Denis;48.92956505;2.359242998;Bassin Urbain;85994
84007;84000;93;Provence-Alpes-Côte d'Azur;84;Avignon;43.93524483;4.840715725;Bassin Urbain;85937
78646;78000;11;Ile-de-France;78;Versailles;48.80256697;2.117892972;Bassin Urbain;85761
92050;92000;11;Ile-de-France;92;Nanterre;48.89607013;2.206713464;Bassin Urbain;84270
86194;86000;75;Nouvelle Aquitaine;86;Poitiers;46.58392077;0.359947653;Bassin Urbain;83507
94028;94000;11;Ile-de-France;94;Créteil;48.78374018;2.454635304;Bassin Urbain;81786
93005;93600;11;Ile-de-France;93;Aulnay-sous-Bois;48.94583844;2.493290417;Bassin Urbain;80030
94081;94400;11;Ile-de-France;94;Vitry-sur-Seine;48.78828283;2.394126805;Bassin Urbain;78908
64445;64000;75;Nouvelle Aquitaine;64;Pau;43.32001898;-0.350337918;Bassin Urbain;78800
62193;62100;32;Hauts-de-France;62;Calais;50.95020728;1.875755661;Bassin Urbain;77317
17300;17000;75;Nouvelle Aquitaine;17;La Rochelle;46.1620644;-1.174657028;Bassin Urbain;76711
92025;92700;11;Ile-de-France;92;Colombes;48.92251791;2.246751606;Bassin Urbain;76690
92004;92600;11;Ile-de-France;92;Asnières-sur-Seine;48.91535301;2.288038466;Bassin Urbain;75832
94017;94500;11;Ile-de-France;94;Champigny-sur-Marne;48.81725436;2.517098153;Bassin Urbain;74232
92063;92500;11;Ile-de-France;92;Rueil-Malmaison;48.86918974;2.177340632;Bassin Urbain;73599
